Country,Year,NumDisaster,NumKilled,NumInjured,NumAffected,NumHomeless,AffectedPop,TotalDamUSD,Continent
Kazakhstan,2001,2,3,12,3668,0,3680,0,Asia
Kazakhstan,2003,1,3,626,36000,0,36626,0,Asia
Kazakhstan,2004,1,48,0,0,0,0,0,Asia
Kazakhstan,2005,1,0,0,25000,0,25000,7662,Asia
Kazakhstan,2008,1,1,0,13000,0,13000,130000,Asia
Kazakhstan,2010,2,44,700,23500,5000,29200,34576,Asia
Kazakhstan,2011,1,2,0,12238,3762,16000,67000,Asia
Kazakhstan,2012,2,0,0,14400,0,14400,0,Asia
Kenya,2000,5,50,0,721,0,721,0,Africa
Kenya,2001,5,44,0,743,0,743,38,Africa
Kenya,2002,5,101,8,175000,0,175008,0,Africa
Kenya,2003,2,40,0,60300,0,60300,0,Africa
Kenya,2004,5,143,0,2312141,0,2312141,100000,Africa
Kenya,2005,6,106,0,3537845,0,3537845,500,Africa
Kenya,2006,7,395,0,783888,0,783888,0,Africa
Kenya,2007,4,39,7,42650,0,42657,0,Africa
Kenya,2008,9,112,20,3862438,0,3862458,0,Africa
Kenya,2009,5,307,0,146646,0,146646,0,Africa
Kenya,2010,6,261,0,4515044,0,4515044,0,Africa
Kenya,2011,3,33,0,95692,5000,100692,0,Africa
Kenya,2012,2,73,0,4030670,0,4030670,100000,Africa
Kenya,2013,1,66,19,100000,0,100019,36000,Africa
Kiribati,2008,1,0,0,0,85,85,0,Oceania
Korea Dem P Rep,2000,1,46,180,480000,147000,627180,6000000,Asia
Korea Dem P Rep,2001,2,124,84,157500,30000,187584,9400,Asia
Korea Dem P Rep,2002,2,3,436,45771,19637,65844,500,Asia
Korea Dem P Rep,2004,2,24,0,450,199255,199705,20000,Asia
Korea Dem P Rep,2005,1,193,205,0,16093,16298,0,Asia
Korea Dem P Rep,2006,3,282,14,10310,84500,94824,0,Asia
Korea Dem P Rep,2007,2,610,518,1000000,171649,1172167,300000,Asia
Korea Dem P Rep,2010,3,20,0,95785,0,95785,0,Asia
Korea Dem P Rep,2011,3,74,887,56705,0,57592,0,Asia
Korea Dem P Rep,2012,3,147,145,3103905,33500,3137550,11400,Asia
Korea Dem P Rep,2013,1,5,0,0,23770,23770,0,Asia
Korea Rep,2000,6,61,18,40031,4137,44186,132300,Asia
Korea Rep,2001,4,81,300,310000,0,310300,366000,Asia
Korea Rep,2002,5,225,7,92628,0,92635,4555000,Asia
Korea Rep,2003,1,130,0,65000,15000,80000,4500000,Asia
Korea Rep,2004,7,24,0,6691,3077,9768,827595,Asia
Korea Rep,2005,5,29,0,15910,1840,17750,165500,Asia
Korea Rep,2006,1,46,0,4630,0,4630,0,Asia
Korea Rep,2007,2,23,2,1000,600,1602,70000,Asia
Korea Rep,2008,1,10,13,0,0,13,0,Asia
Korea Rep,2010,1,12,0,41500,0,41500,0,Asia
Korea Rep,2011,3,121,0,29000,2000,31000,52000,Asia
Korea Rep,2012,3,22,0,3120,0,3120,799000,Asia
Kuwait,2002,1,0,0,1,0,1,0,Asia
Kyrgyzstan,2000,1,11,0,0,0,0,0,Asia
Kyrgyzstan,2002,1,0,0,480,522,1002,1500,Asia
Kyrgyzstan,2003,1,38,2,156,53,211,0,Asia
Kyrgyzstan,2004,3,49,18,0,80,98,0,Asia
Kyrgyzstan,2005,1,3,0,0,2050,2050,2660,Asia
Kyrgyzstan,2006,2,4,0,21075,50,21125,0,Asia
Kyrgyzstan,2007,1,0,0,845,0,845,200,Asia
Kyrgyzstan,2008,2,74,142,3000,1055,4197,0,Asia
Kyrgyzstan,2009,1,0,0,2000000,0,2000000,0,Asia
Kyrgyzstan,2010,2,0,141,8350,0,8491,0,Asia
Kyrgyzstan,2011,1,0,0,0,0,0,0,Asia
Kyrgyzstan,2012,2,16,50,11000,0,11050,0,Asia
Lao P Dem Rep,2000,3,59,0,459685,0,459685,1000,Asia
Lao P Dem Rep,2001,1,0,0,453000,0,453000,0,Asia
Lao P Dem Rep,2002,1,2,0,150000,0,150000,0,Asia
Lao P Dem Rep,2004,1,2,0,0,0,0,0,Asia
Lao P Dem Rep,2008,1,6,0,204190,0,204190,0,Asia
Lao P Dem Rep,2009,2,26,91,128796,0,128887,100000,Asia
Lao P Dem Rep,2011,2,48,0,467000,0,467000,0,Asia
Latvia,2000,1,0,0,102,0,102,0,Europe
Latvia,2001,1,21,0,0,0,0,0,Europe
Latvia,2003,1,15,0,0,0,0,0,Europe
Latvia,2005,3,40,0,0,0,0,325000,Europe
Latvia,2012,1,10,0,0,0,0,0,Europe
Lebanon,2002,1,0,0,500,0,500,0,Asia
Lebanon,2003,1,0,0,17000,0,17000,0,Asia
Lebanon,2007,1,1,15,0,0,15,0,Asia
Lesotho,2000,1,28,0,1834,0,1834,0,Africa
Lesotho,2001,2,1,1,1000,1000,2001,0,Africa
Lesotho,2002,1,0,0,500000,0,500000,0,Africa
Lesotho,2007,1,0,0,475000,0,475000,0,Africa
Lesotho,2008,1,0,0,4500,0,4500,0,Africa
Lesotho,2011,3,26,0,730515,0,730515,0,Africa
Liberia,2000,2,13,0,112,0,112,0,Africa
Liberia,2002,1,0,0,661,0,661,0,Africa
Liberia,2003,2,0,0,19418,0,19418,0,Africa
Liberia,2005,1,29,0,674,0,674,0,Africa
Liberia,2007,2,1,0,17000,3500,20500,0,Africa
Liberia,2008,1,0,0,0,340,340,0,Africa
Liberia,2009,2,2,0,500584,0,500584,0,Africa
Liberia,2010,1,1,0,15486,0,15486,0,Africa
Lithuania,2001,1,20,0,0,0,0,0,Europe
Lithuania,2005,2,0,0,0,0,0,30000,Europe
Lithuania,2006,1,0,0,0,0,0,225573,Europe
Lithuania,2010,2,9,0,0,0,0,0,Europe
Lithuania,2012,2,30,0,0,0,0,0,Europe
Luxembourg,2003,1,170,0,0,0,0,0,Europe
Luxembourg,2010,1,0,0,0,0,0,31000,Europe
Macedonia FRY,2000,1,0,0,0,0,0,13563,Europe
Macedonia FRY,2001,1,15,0,0,0,0,0,Europe
Macedonia FRY,2002,2,0,0,1700,150,1850,0,Europe
Macedonia FRY,2003,2,2,0,4750,0,4750,0,Europe
Macedonia FRY,2004,2,15,0,100000,0,100000,3600,Europe
Macedonia FRY,2005,2,1,3,2000,0,2003,0,Europe
Macedonia FRY,2006,1,0,0,1500,0,1500,0,Europe
Macedonia FRY,2007,2,1,0,1000202,0,1000202,0,Europe
Macedonia FRY,2012,1,1,0,5100,0,5100,0,Europe
Macedonia FRY,2013,1,1,0,3000,0,3000,0,Europe
Madagascar,2000,3,153,1,1337498,0,1337499,9000,Africa
Madagascar,2002,5,694,1200,1143875,5000,1150075,181,Africa
Madagascar,2003,4,105,86,134429,51605,186120,150000,Africa
Madagascar,2004,2,395,979,773000,258450,1032429,250000,Africa
Madagascar,2005,4,107,25,72700,8877,81602,0,Africa
Madagascar,2006,2,4,0,6112,404,6516,0,Africa
Madagascar,2007,4,91,16,243495,12000,255511,240000,Africa
Madagascar,2008,5,125,580,1058768,194338,1253686,60000,Africa
Madagascar,2009,4,27,10,123389,8102,131501,5000,Africa
Madagascar,2010,1,120,132,192000,0,192132,0,Africa
Madagascar,2011,1,35,73,89297,25845,115215,0,Africa
Madagascar,2012,3,112,299,335300,0,335599,100000,Africa
Madagascar,2013,2,51,127,44752,0,44879,0,Africa
Malawi,2000,2,83,0,23323,0,23323,1000,Africa
Malawi,2001,5,1190,0,549016,0,549016,6700,Africa
Malawi,2002,5,725,0,3226548,0,3226548,0,Africa
Malawi,2003,2,12,0,18500,1000,19500,0,Africa
Malawi,2005,3,12,8,5100000,44500,5144508,0,Africa
Malawi,2006,3,28,0,852,16000,16852,0,Africa
Malawi,2007,5,2,0,719306,2659,721965,0,Africa
Malawi,2008,2,113,0,21649,0,21649,0,Africa
Malawi,2009,3,66,186,11461,20550,32197,0,Africa
Malawi,2010,1,0,0,21290,0,21290,0,Africa
Malawi,2011,3,4,1,83586,0,83587,0,Africa
Malawi,2012,4,4,0,1996735,0,1996735,0,Africa
Malawi,2013,1,0,0,33000,0,33000,0,Africa
Malaysia,2000,4,16,0,9488,0,9488,1000,Asia
Malaysia,2001,4,11,0,33200,0,33200,0,Asia
Malaysia,2002,3,14,0,158,0,158,0,Asia
Malaysia,2003,3,8,0,18800,0,18800,0,Asia
Malaysia,2004,6,97,767,57038,19296,77101,510000,Asia
Malaysia,2005,3,13,0,30600,0,30600,0,Asia
Malaysia,2006,4,6,0,106518,0,106518,22000,Asia
Malaysia,2007,3,102,0,137533,29000,166533,968000,Asia
Malaysia,2008,2,0,0,8000,0,8000,0,Asia
Malaysia,2009,2,0,0,10875,0,10875,0,Asia
Malaysia,2011,2,18,6,20000,0,20006,0,Asia
Maldives,2004,1,102,2214,12000,13000,27214,470100,Asia
Maldives,2007,1,0,0,1649,0,1649,0,Asia
Maldives,2011,1,4,0,1289,0,1289,0,Asia
Mali,2000,1,15,0,0,0,0,0,Africa
Mali,2001,2,2,0,3500,0,3500,0,Africa
Mali,2002,2,35,0,22801,0,22801,0,Africa
Mali,2003,2,106,0,1216,10000,11216,0,Africa
Mali,2004,1,0,0,0,0,0,0,Africa
Mali,2005,5,43,0,1000168,1860,1002028,0,Africa
Mali,2006,3,10,0,25151,1000,26151,0,Africa
Mali,2007,2,18,34,42662,46162,88858,0,Africa
Mali,2008,1,0,0,0,2500,2500,0,Africa
Mali,2009,2,35,16,20476,0,20492,0,Africa
Mali,2010,3,0,0,632000,0,632000,0,Africa
Mali,2011,3,50,0,3516605,0,3516605,0,Africa
Marshall Is,2000,1,6,0,218,0,218,0,Oceania
Marshall Is,2008,1,0,0,600,0,600,0,Oceania
Marshall Is,2013,1,0,0,6384,0,6384,0,Oceania
Martinique,2007,2,2,106,0,0,106,300000,Americas
Martinique,2010,1,13,0,29200,0,29200,0,Americas
Martinique,2011,1,1,0,0,0,0,0,Americas
Mauritania,2001,2,0,0,1000000,3000,1003000,0,Africa
Mauritania,2002,1,25,0,27500,0,27500,0,Africa
Mauritania,2003,1,9,0,0,21000,21000,0,Africa
Mauritania,2004,1,0,0,0,0,0,0,Africa
Mauritania,2005,2,55,0,10085,0,10085,0,Africa
Mauritania,2006,2,7,19,0,10600,10619,0,Africa
Mauritania,2007,2,3,0,54120,0,54120,0,Africa
Mauritania,2009,1,1,0,10000,0,10000,0,Africa
Mauritania,2010,2,0,0,846750,0,846750,0,Africa
Mauritania,2011,1,0,0,700000,0,700000,0,Africa
Mauritius,2002,1,3,50,0,1000,1050,50000,Africa
Mauritius,2005,1,0,0,2553,0,2553,0,Africa
Mauritius,2007,1,2,0,0,0,0,0,Africa
Mauritius,2013,1,11,82,0,0,82,0,Africa
Mexico,2000,8,236,1,73300,0,73301,1000,Americas
Mexico,2001,6,26,0,5600,800,6400,401000,Americas
Mexico,2002,8,103,230,516600,0,516830,1050000,Americas
Mexico,2003,8,70,1123,237530,3000,241653,216300,Americas
Mexico,2004,4,72,40,4050,0,4090,3600,Americas
Mexico,2005,7,88,0,2683571,300000,2983571,7910000,Americas
Mexico,2006,7,41,0,270700,0,270700,2700,Americas
Mexico,2007,7,58,0,1828000,30000,1858000,3600000,Americas
Mexico,2008,3,36,0,520000,0,520000,75000,Americas
Mexico,2009,8,32,14,293857,0,293871,40000,Americas
Mexico,2010,9,182,232,1600075,0,1600307,7066000,Americas
Mexico,2011,11,125,2,3610600,40000,3650602,597700,Americas
Mexico,2012,3,21,11,132000,4000,136011,1175000,Americas
Mexico,2013,1,4,0,12000,0,12000,0,Americas
Moldova Rep,2000,2,2,0,2600000,0,2600000,31600,Europe
Moldova Rep,2002,1,1,0,500,0,500,832,Europe
Moldova Rep,2005,2,13,0,6500,0,6500,7752,Europe
Moldova Rep,2007,1,0,0,210394,0,210394,406000,Europe
Moldova Rep,2008,1,3,0,4000,0,4000,0,Europe
Moldova Rep,2010,1,1,0,12000,0,12000,0,Europe
Moldova Rep,2012,2,10,0,13174,0,13174,0,Europe
Mongolia,2000,3,23,0,1521000,0,1521000,80000,Asia
Mongolia,2001,2,16,0,179000,0,179000,0,Asia
Mongolia,2002,3,3,0,665009,0,665009,0,Asia
Mongolia,2003,1,15,0,1500,150,1650,270,Asia
Mongolia,2008,2,52,0,3151,0,3151,0,Asia
Mongolia,2009,2,31,7,784106,0,784113,62094,Asia
Montenegro,2007,1,0,0,1086,0,1086,0,Europe
Montenegro,2009,1,0,0,450,0,450,0,Europe
Montenegro,2010,2,0,0,6350,0,6350,0,Europe
Montenegro,2012,1,1,0,4500,0,4500,0,Europe
Morocco,2000,3,6,0,950,0,950,809,Africa
Morocco,2001,1,15,0,300,0,300,2200,Africa
Morocco,2002,1,80,17,15000,0,15017,200000,Africa
Morocco,2003,1,35,0,10000,0,10000,0,Africa
Morocco,2004,2,628,926,0,12539,13465,400000,Africa
Morocco,2005,1,1,0,0,0,0,50,Africa
Morocco,2006,3,17,0,2100,0,2100,0,Africa
Morocco,2008,2,39,0,20000,0,20000,0,Africa
Morocco,2009,2,29,20,9500,0,9520,0,Africa
Morocco,2010,2,42,9,77000,0,77009,29000,Africa
Morocco,2012,1,0,0,7500,0,7500,0,Africa
Mozambique,2000,7,843,4,4518933,1050,4519987,420200,Africa
Mozambique,2001,5,95,0,1449937,0,1449937,36000,Africa
Mozambique,2002,3,20,17,2028,4500,6545,0,Africa
Mozambique,2003,9,217,13,681634,0,681647,0,Africa
Mozambique,2005,3,16,12,1438825,9000,1447837,0,Africa
Mozambique,2006,2,31,36,5692,1440,7168,0,Africa
Mozambique,2007,7,142,70,1088782,3500,1092352,171000,Africa
Mozambique,2008,5,238,36,687810,58000,745846,20000,Africa
Mozambique,2009,4,198,3,27301,6500,33804,3000,Africa
Mozambique,2010,3,49,0,480188,0,480188,0,Africa
Mozambique,2011,4,36,0,64271,0,64271,0,Africa
Mozambique,2012,3,33,13,109945,0,109958,0,Africa
Mozambique,2013,2,119,0,241144,0,241144,30000,Africa
Myanmar,2001,1,51,0,0,3750,3750,0,Asia
Myanmar,2002,1,21,0,50000,0,50000,0,Asia
Myanmar,2004,2,307,0,12500,28200,40700,500688,Asia
Myanmar,2005,1,17,16,0,0,16,0,Asia
Myanmar,2006,2,59,31,70075,0,70106,0,Asia
Myanmar,2007,5,35,110,162317,4237,166664,0,Asia
Myanmar,2008,1,138366,20000,2400000,0,2420000,4000000,Asia
Myanmar,2009,1,24,0,1351,0,1351,0,Asia
Myanmar,2010,2,113,49,405000,0,405049,57000,Asia
Myanmar,2011,2,225,125,53734,3152,57011,5300,Asia
Myanmar,2012,2,40,231,86255,0,86486,1170,Asia
Myanmar,2013,1,16,0,0,0,0,0,Asia
Namibia,2000,2,14,0,5058,0,5058,0,Africa
Namibia,2001,2,134,0,12098,0,12098,0,Africa
Namibia,2002,1,0,0,345000,0,345000,0,Africa
Namibia,2003,1,2,0,12000,0,12000,0,Africa
Namibia,2004,2,0,0,25000,0,25000,0,Africa
Namibia,2006,3,15,0,2347,0,2347,8490,Africa
Namibia,2007,2,14,0,15250,0,15250,0,Africa
Namibia,2008,2,51,0,65203,0,65203,0,Africa
Namibia,2009,1,92,0,350000,0,350000,0,Africa
Namibia,2010,1,8,0,110000,0,110000,0,Africa
Namibia,2011,1,108,0,500000,0,500000,12000,Africa
Namibia,2012,1,0,0,650,0,650,0,Africa
Namibia,2013,2,0,0,314500,0,314500,0,Africa
Nepal,2000,3,463,70,50592,0,50662,6300,Asia
Nepal,2001,3,170,0,21261,0,21261,0,Asia
Nepal,2002,3,564,305,265760,0,266065,0,Asia
Nepal,2003,2,287,284,43395,15575,59254,0,Asia
Nepal,2004,1,185,15,800000,0,800015,0,Asia
Nepal,2005,2,51,0,31600,0,31600,0,Asia
Nepal,2006,4,157,0,200000,80000,280000,0,Asia
Nepal,2007,1,214,48,640658,0,640706,2400,Asia
Nepal,2008,2,115,3,250000,0,250003,29,Asia
Nepal,2009,6,459,62,619598,0,619660,60000,Asia
Nepal,2010,4,223,0,13372,0,13372,0,Asia
Nepal,2011,7,182,121,194686,0,194807,123,Asia
Nepal,2012,3,135,5,0,0,5,1000,Asia
Netherlands,2002,1,4,0,0,0,0,300000,Europe
Netherlands,2003,1,965,0,0,0,0,0,Europe
Netherlands,2005,3,0,1,0,0,1,100000,Europe
Netherlands,2006,1,1000,0,0,0,0,0,Europe
Netherlands,2007,1,7,0,0,0,0,550000,Europe
Netherlands,2008,1,0,0,0,0,0,0,Europe
Netherlands,2010,1,0,0,0,0,0,28000,Europe
Netherlands,2012,1,1,0,0,0,0,0,Europe
New Zealand,2000,2,0,0,0,0,0,1000,Oceania
New Zealand,2001,1,0,0,0,0,0,200000,Oceania
New Zealand,2002,2,0,0,301,0,301,500,Oceania
New Zealand,2003,1,2,0,0,0,0,3000,Oceania
New Zealand,2004,2,4,0,5350,0,5350,245000,Oceania
New Zealand,2005,2,0,0,100,400,500,82000,Oceania
New Zealand,2006,1,0,0,1200,0,1200,3000,Oceania
New Zealand,2007,1,0,0,300,0,300,0,Oceania
New Zealand,2010,1,0,2,300000,0,300002,6500000,Oceania
New Zealand,2011,2,182,1545,300000,300,301845,18000000,Oceania
New Zealand,2012,1,3,7,450,0,457,9100,Oceania
New Zealand,2013,1,0,0,0,0,0,1600000,Oceania
Nicaragua,2000,5,9,42,9795,5650,15487,1000,Americas
Nicaragua,2001,2,16,0,212866,0,212866,1000,Americas
Nicaragua,2002,3,2,0,26842,3004,29846,1050,Americas
Nicaragua,2004,2,29,18,5951,0,5969,0,Americas
Nicaragua,2005,2,7,0,7880,5763,13643,0,Americas
Nicaragua,2007,2,198,0,212726,0,212726,0,Americas
Nicaragua,2008,3,30,0,39188,0,39188,0,Americas
Nicaragua,2009,4,8,0,28832,0,28832,0,Americas
Nicaragua,2010,5,87,0,76255,0,76255,0,Americas
Nicaragua,2011,1,17,18,143000,0,143018,0,Americas
Nicaragua,2012,1,9,0,29500,0,29500,0,Americas
Niger,2000,4,192,3,5307,0,5310,0,Africa
Niger,2001,5,577,0,3652625,0,3652625,0,Africa
Niger,2002,3,320,3,4556,0,4559,0,Africa
Niger,2003,2,202,0,31861,0,31861,0,Africa
Niger,2004,3,154,0,20132,0,20132,0,Africa
Niger,2005,2,44,0,3000387,0,3000387,0,Africa
Niger,2006,3,66,0,784,46472,47256,0,Africa
Niger,2007,1,7,10,57264,0,57274,0,Africa
Niger,2008,3,180,0,34805,0,34805,0,Africa
Niger,2009,3,172,0,7983642,0,7983642,0,Africa
Niger,2010,4,108,0,227828,6615,234443,0,Africa
Niger,2011,4,64,0,3015130,28175,3043305,0,Africa
Niger,2012,3,188,0,535826,0,535826,2750,Africa
Nigeria,2000,12,135,0,1755,6300,8055,6705,Africa
Nigeria,2001,8,744,50,86701,5802,92553,3000,Africa
Nigeria,2002,9,315,0,3903,200,4103,0,Africa
Nigeria,2003,1,16,0,210000,0,210000,2570,Africa
Nigeria,2004,9,266,600,31197,0,31797,0,Africa
Nigeria,2005,6,779,4,24873,3000,27877,147,Africa
Nigeria,2006,3,40,0,3000,10000,13000,0,Africa
Nigeria,2007,4,291,0,55000,0,55000,0,Africa
Nigeria,2008,3,178,0,66,0,66,0,Africa
Nigeria,2009,3,1732,0,185255,0,185255,0,Africa
Nigeria,2010,3,549,200,1508500,0,1508700,30000,Africa
Nigeria,2011,6,879,162,51647,500,52309,4500,Africa
Nigeria,2012,3,388,867,7015029,0,7015896,501000,Africa
Norway,2000,1,0,0,600,0,600,0,Europe
Norway,2001,1,0,0,1500,0,1500,0,Europe
Norway,2005,1,0,0,0,0,0,130000,Europe
Norway,2008,1,0,100,0,0,100,0,Europe
Norway,2011,1,4,0,500,0,500,0,Europe
Oman,2002,1,7,33,50,0,83,50000,Asia
Oman,2003,1,30,0,0,0,0,1000,Asia
Oman,2007,1,76,0,20000,0,20000,3900000,Asia
Oman,2010,1,16,0,0,0,0,1000000,Asia
Oman,2011,1,14,200,0,0,200,0,Asia
Pakistan,2000,4,133,0,258,0,258,0,Asia
Pakistan,2001,7,257,291,1319192,500,1319983,246500,Asia
Pakistan,2002,9,210,151,154767,5000,159918,30,Asia
Pakistan,2003,6,529,533,1265767,2500,1268800,0,Asia
Pakistan,2004,4,31,163,10765,2320,13248,0,Asia
Pakistan,2005,11,74204,129090,7523073,5003500,12655663,5230000,Asia
Pakistan,2006,9,513,630,2000,5600,8230,0,Asia
Pakistan,2007,10,911,209,1652502,0,1652711,1947118,Asia
Pakistan,2008,4,249,332,365752,0,366084,113000,Asia
Pakistan,2009,3,102,80,75000,0,75080,0,Asia
Pakistan,2010,7,2186,3018,20394883,0,20397901,9598000,Asia
Pakistan,2011,2,511,755,5401000,0,5401755,2500000,Asia
Pakistan,2012,5,671,2902,5047662,0,5050564,2500000,Asia
Pakistan,2013,2,42,57,0,0,57,0,Asia
Palestine (West Bank),2008,1,0,0,0,0,0,0,Asia
Palestine (West Bank),2010,1,0,0,0,500,500,0,Asia
Palestine (West Bank),2012,1,0,0,1500,0,1500,0,Asia
Palestine (West Bank),2013,1,5,0,12500,0,12500,0,Asia
Panama,2000,1,1,0,0,1000,1000,1300,Americas
Panama,2001,1,0,0,0,775,775,0,Americas
Panama,2002,3,5,0,25173,1500,26673,500,Americas
Panama,2003,3,2,75,2000,340,2415,0,Americas
Panama,2004,3,16,0,22748,0,22748,0,Americas
Panama,2005,1,3,0,7000,0,7000,7000,Americas
Panama,2006,3,11,0,6576,1290,7866,0,Americas
Panama,2007,1,2,0,129,0,129,0,Americas
Panama,2008,2,28,5,23832,0,23837,10000,Americas
Panama,2009,1,0,0,4248,0,4248,0,Americas
Panama,2010,4,15,299,32642,0,32941,0,Americas
Panama,2011,2,0,0,4000,0,4000,0,Americas
Panama,2012,2,6,32,9416,0,9448,0,Americas
Panama,2013,1,0,0,0,0,0,200000,Americas
Papua New Guinea,2000,1,1,0,0,5000,5000,0,Oceania
Papua New Guinea,2001,2,0,1,1395,200,1596,0,Oceania
Papua New Guinea,2002,6,183,81,19778,1000,20859,0,Oceania
Papua New Guinea,2003,2,13,21,600,0,621,0,Oceania
Papua New Guinea,2004,2,0,0,19600,0,19600,0,Oceania
Papua New Guinea,2005,3,2,0,17493,200,17693,0,Oceania
Papua New Guinea,2006,6,16,0,3999,22000,25999,0,Oceania
